word,definition
BATHE,"to wash by immersion in water [v BATHED, BATHING, BATHES]"
BATHS,"BATH, to take a bath [v]"
BATON,"to strike with a truncheon, also BATOON [v -ED, -ING, -S]"
BATTA,extra pay; esp. an extra allowance to an English officer serving in India [n -S]
BATTS,"BATT, a sheet of batting, cotton-wool prepared in sheets for quilting [n]"
BAUDS,"BAUD, a unit of data transmission speed of one bit per second [n]"
BAUKS,"BAUK, to refrain from proceeding, also BALK, BAULK [v]"
BAULK,"to refrain from proceeding, also BALK, BAUK [v -ED, -ING, -S]"
BAVIN,"to tie brushwood into bundles [v -ED, -ING, -S]"
BAWDS,"BAWD, a female brothel-keeper [n]"
BAWDY,"obscene [adj BAWDIER, BAWDIEST, BAWDILY] / obscene language [n BAWDIES]"
BAWKS,"BAWK, an Atlantic seabird [n]"
BAWLS,"BAWL, to shout or cry very loudly [v]"
BAWTY,"a kind of dog, also BAWTIE [n BAWTIES]"
BAYED,"BAY, to bark or howl [v]"
BAYER,"BAY, of a certain colour [adj]"
BAYLE,"a pole, a barrier separating horses in a field [n -S]"
BEACH,"to drive onto the shore by a lake or the sea [v -ED, -ING, -ES]"
BEADS,"BEAD, to adorn with round balls of glass, wood or plastic [v]"
BEADY,"resembling beads [adj BEADIER, BEADIEST, BEADILY]"
BEAKS,"BEAK, a bird's bill [n]"
BEAKY,"resembling a beak [adj BEAKIER, BEAKIEST]"
BEALS,"BEAL, an infected sore, also BEALING [n]"
BEAMS,"BEAM, to emit a ray of light [v]"
BEAMY,"radiant [adj BEAMIER, BEAMIEST, BEAMILY]"
BEANS,"BEAN, to hit on the head [v]"
BEANY,"a small close-fitting hat, also BEANIE [n BEANIES]"
BEARD,"hair on the lower face [n -S] / to oppose with effrontery [v -ED, -ING, -S]"
BEARS,"BEAR, to endure [v]"
BEATS,"BEAT, to strike repeatedly [v]"
BEATY,"of music, having a marked beat [adj BEATIER, BEATIEST]"
BECAP,"to put a cap on [v BECAPPED, BECAPPING, BECAPS]"
BECKS,"BECK, to beckon [v]"
BEDAD,"an Irish oath, by God, also BEGAD [interj]"
BEDEW,"to cover with dew [v -ED, -ING, -S]"
BEDIM,"to make dim [v BEDIMMED, BEDIMMING, BEDIMS]"
BEECH,a common forest tree [n -ES]
BEEFS,"BEEF, to grumble [v]"
BEEFY,"thickly built [adj BEEFIER, BEEFIEST, BEEFILY]"
BEEPS,"BEEP, to honk a horn [v]"
BEERS,"BEER, an alcoholic drink made from malted barley flavoured with hops [n]"
BEERY,"smelling of beer [adj BEERIER, BEERIEST, BEERILY]"
BEETS,"BEET, to improve or mend, esp. a fire [v]"
BEFIT,"to be suitable for [v BEFITTED, BEFITTING, BEFITS]"
BEFOG,"to fog up, obscure [v BEFOGGED, BEFOGGING, BEFOGS]"
BEGAN,"BEGIN, to start [v]"
BEGAT,"BEGET, to cause to exist [v]"
BEGEM,"to adorn with gems [v BEGEMMED, BEGEMMING, BEGEMS]"
BEGET,"to cause to exist [v BEGAT or BEGOT, BEGOTTEN, BEGETTING, BEGETS]"
BEGIN,"to start [v BEGAN, BEGUN, BEGINNING, BEGINS]"
BEGOT,"BEGET, to cause to exist [v]"
BEGUN,"BEGIN, to start [v]"
BEIGE,"a woollen fabric of undyed wool [n -S] / greyish buff with a hint of pink [adj BEIGER, BEIGEST]"
BEIGY,"relating to the color beige [adj BEIGIER, BEIGIEST]"
BEING,something that exists [n -S]
BEINS,"BEIN, to fill [v]"
BELAR,"an Australian tree of the Casuarina genus, aka beefwood, also BELAH [n -S]"
BELAY,"to fasten a rope [v -ED, -ING, -S]"
BELCH,"to expel gas through the mouth [v -ED, -ING, -ES]"
BELIE,"to misrepresent [v BELIED, BELYING, BELIES]"
BELLS,"BELL, to provide with a ringing device [v]"
BELLY,"to swell out [v BELLIED, BELLYING, BELLIES]"
BELON,a type of oyster [n -S]
BELOW,the lower part of something [n -S]
BELTS,"BELT, to thrash with a belt [v]"
BEMIX,"to mix well [v BEMIXED, BEMIXT, BEMIXING, BEMIXES]"
BENCH,"to provide with benches [v -ED, -ING, -ES]"
BENDS,"BEND, to curve [v]"
BENDY,"a tropical plant [n BENDYS] / full of bends [adj BENDIER, BENDIEST]"
BENES,"BENE, a prayer, a boon [n]"
BENET,"to catch in a net, to ensnare [v BENETTED, BENETTING, BENETS]"
BENGA,a form of Kenyan popular music featuring guitars [n -S]
BENIS,"BENI, the sesame plant, also BENNE, BENNI [n]"
BENNE,"the sesame plant, also BENI, BENNI [n -S]"
BENNI,"the sesame plant, also BENNE, BENI [n -S]"
BENTS,"BENT, a stiff wiry grass, also BENTGRASS [n]"
BENTY,"like wiry grass [adj BENTIER, BENTIEST]"
BEPAT,"to pat often [v BEPATTED, BEPATTING, BEPATS]"
BERES,"BERE, barley, esp. the six-rowed barley [n]"
BERET,"a flat round woollen cap, also BERRET [n -S]"
BERME,"a narrow shelf or path between the bottom of a parapet and the ditch, also BERM [n -S]"
BERMS,"BERM, to provide a berm, also BERME [v]"
BERRY,"a fleshy fruit which has no stony layer and usually contains many seeds [n BERRIES] / to collect berries [v BERRIED, BERRYING, BERRIES]"
BERTH,"to moor a ship [v -ED, -ING, -S]"
BERYL,a semiprecious stone [n -S]
BESET,"to assail [v BESET, BESETTING, BESETS]"
BESOM,"a broom, esp. one made of twigs, also BISOM [n -S] / to sweep with a besom [v -ED, -ING, -S]"
BESOT,"to infatuate [v BESOTTED, BESOTTING, BESOTS]"
BESTS,"BEST, to outdo [v]"
BETED,"BETE, to mend, improve [v]"
BETES,"BETE, to mend, improve [v]"
BETID,"BETIDE, to befall, happen to [v]"
BETTA,a strikingly-colored Asiatic fish [n -S]
BETTY,"a burglar's tool, a type of short crowbar [n BETTIES]"
BEVEL,"to cut at an angle [v BEVELED or BEVELLED, BEVELING or BEVELLING, BEVELS]"
BEVER,"to snack [v -ED, -ING, -S]"
BEVOR,armour for the face [n -S]
BEVVY,"an alcoholic drink [n BEVVIES] / to engage in a drinking session [v BEVVIED, BEVVYING, BEVVIES]"
BEWIG,"to dress in a wig [v BEWIGGED, BEWIGGING, BEWIGS]"
BEZEL,"the oblique side or face of a cut gem, also BEZIL [n -S]"
BEZES,"BEZ, the second tine of a deer's horn [n]"
BEZIL,"the oblique side or face of a cut gem, also BEZEL [n -S]"
BHATS,"BHAT, a dancer in a Thai troupe [n]"
BICEP,"the two-headed muscle at the front of the arm, also BICEPS [n -S]"
BICES,"BICE, a pale blue or green paint [n]"
BIDDY,"a chicken or hen; an old woman, usually somewhat derogatory [n BIDDIES]"
BIDED,"BIDE, to wait, dwell, also BYDE [v]"
BIDER,one who bides [n -S]
BIDES,"BIDE, to wait, dwell, also BYDE [v]"
BIERS,"BIER, a coffin stand [n]"
BIFID,divided into two parts [adj]
BIGGS,"BIGG, a four-rowed barley [n]"
BIGGY,"a biggish thing, also BIGGIE [n BIGGIES]"
BIGHT,"to fasten with a loop of rope [v -ED, -ING, -S]"
BIGLY,"BIG, of large size [adv]"
BIGOS,a kind of Polish stew [n -ES]
BIGOT,a prejudiced person [n -S]
BIKED,"BIKE, to ride a bicycle [v]"
BIKER,one who rides a bike [n -S]
BIKES,"BIKE, to ride a bicycle [v]"
BILGE,"to spring a leak [v BILGED, BILGING, BILGES]"
BILGY,"having the smell of bilge water [adj BILGIER, BILGIEST]"
BILKS,"BILK, to avoid paying someone what is due [v]"
BILLS,"BILL, to charge someone for services [v]"
BINAL,twofold [adj]
BINDS,"BIND, to tie, fasten [v]"
BINES,"BINE, the flexible shoot of climbing plant, esp. hop [n]"
BINGE,"to eat or drink to excess [v BINGED, BINGING or BINGEING, BINGES]"
BINGO,"a lottery-type game [n BINGOS or BINGOES] / to play all seven of one's tiles at Scrabble [v -ED, -ING, -ES]"
BINGS,"BING, a heap or pile, as of wood [n]"
BINIT,a unit of computer information [n -S]
BINKS,"BINK, a bench [n]"
BIOME,"an extensive ecological community, esp. one with a dominant vegetation [n -S]"
BIONT,a physiologically independent living organism [n -S]
BIPED,an animal with two feet [n -S]
BIPOD,a two-legged stand [n -S]
BIRCH,"to flog [v -ED, -ING, -ES]"
BIRDS,"BIRD, to hunt birds [v]"
BIRLE,"to carouse, also BIRL, BYRL [v BIRLED, BIRLING, BIRLES]"
BIRLS,"BIRL, to spin round [v]"
BIRTH,"to originate [v -ED, -ING, -S]"
BISKS,"BISK, a kind of rich thick soup, also BISQUE [n]"
BISOM,"a term of reproach esp. for a woman, implying slatternliness [n -S]"
BISON,either of two heavily-built wild oxen of the genus Bison [n -S]
BITCH,"to complain [v -ED, -ING, -ES]"
BITER,that which bites [n -S]
BITES,"BITE, to seize with the teeth [v]"
BITOS,"BITO, a tree of dry tropical Africa and Asia [n]"
BITOU,"as in bitou bush, a sprawling woody South African shrub [adj]"
BITSY,"small and attractive [adj BITSIER, BITSIEST]"
BITTS,"BITT, to secure a cable to a bitt or post [v]"
BITTY,"fragmented [adj BITTIER, BITTIEST, BITTILY]"
BIVVY,"to bivouac, to remain in the open air (esp. during the night) without tents etc. [v BIVVIED, BIVVYING, BIVVIES]"
BLACK,"being of the darkest colour [adj BLACKER, BLACKEST, BLACKLY] / to blacken [v -ED, -ING, -S]"
BLADE,the cutting part of a knife [n -S]
BLADY,"as in blady grass, a coarse Australian grass [adj BLADIER, BLADIEST]"
BLAES,"a kind of clay, livid or red in colour, also BLAISE, BLAIZE [n]"
BLAGS,"BLAG, to rob, steal [v]"
BLAHS,"BLAH, to talk stupidly or insipidly [v]"
BLAIN,a blister [n -S]
BLAME,"to find fault with [v BLAMED, BLAMING, BLAMES]"
BLAMS,"BLAM, to make a sound like a gunshot [v]"
BLAND,"neutral-tasting, insipid [adj BLANDER, BLANDEST, BLANDLY] / to become bland [v -ED, -ING, -S]"
BLANK,"empty [adj BLANKER, BLANKEST, BLANKLY] / to delete [v -ED, -ING, -S]"
BLARE,"to sound loudly [v BLARED, BLARING, BLARES]"
BLART,"to shout loudly and harshly [v -ED, -ING, -S]"
BLAST,"to use explosives [v -ED, -ING, -S]"
BLATS,"BLAT, to bleat, cry like a sheep [v]"
BLAYS,"BLAY, a small fish, also BLEY [n]"
BLAZE,"to burn with a strong flame [v BLAZED, BLAZING, BLAZES]"
BLEAK,"a freshwater fish [n -S] / dull and cheerless [adj BLEAKER, BLEAKEST, BLEAKLY]"
BLEAR,"of the eyes, dim, watery [adj BLEARER, BLEAREST] / to make bleary [v -ED, -ING, -S]"
BLEAT,"to cry like a sheep [v -ED, -ING, -S]"
BLECH,an interjection expressing disgust [interj]
BLEED,"to lose blood [v BLED, BLEEDING, BLEEDS]"
BLEEP,"to emit a short high sound [v -ED, -ING, -S]"
BLEND,"to mix together [v BLENT or BLENDED, YBLENT, BLENDING, BLENDS]"
BLENT,"BLEND, to mix together [v]"
BLEST,"BLESS, to sanctify [v]"
BLETS,"BLET, to decay like this [v]"
BLEYS,"BLEY, a small fish, also BLAY [n]"
BLIMP,"to swell out [v -ED, -ING, -S]"
BLIMY,"an interjection expressing surprise and annoyance, also BLIMEY [interj]"
BLIND,"to make sightless [v -ED, -ING, -S] / sightless [adj BLINDER, BLINDEST, BLINDLY]"
BLING,"flashy [adj BLINGER, BLINGEST] / to adopt a flamboyant appearance [v -ED, -ING, -S]"
BLINI,"a small buckwheat pancake, also BLIN, BLINTZ, BLINTZE [n -S]"
BLINK,"to open and shut the eyes quickly [v -ED, -ING, -S]"
BLIPS,"BLIP, to remove sound from a recording [v]"
BLISS,"to experience ecstasy [v -ED, -ING, -ES]"
BLIST,"BLESS, to sanctify [v]"
BLITE,a genus of herbs of the goosefoot family [n -S]
BLITS,"BLIT, to transfer a large array of bits between different locations in a computer's memory [v]"
BLOAT,"to swell [v -ED, -ING, -S]"
BLOCK,"to obstruct [v -ED, -ING, -S]"
BLOGS,"BLOG, to keep a personal online journal [v]"
BLOKE,a fellow [n -S]
BLOND,"a fair complexioned and haired person [n -S] / light coloured, also BLONDE [adj BLONDER, BLONDEST]"
BLOOK,a book serialized on a blog platform [n -S]
BLOOM,"to bear flowers [v -ED, -ING, -S]"
BLOOP,"in baseball, to hit a short fly ball [v -ED, -ING, -S]"
BLOTS,"BLOT, to spot or stain [v]"
BLOWN,"BLOW, to propel by a current of air [v]"
BLOWS,"BLOW, to propel by a current of air [v]"
BLOWY,"windy, gusty [adj BLOWIER, BLOWIEST]"
BLUDS,"BLUD, blood, in the sense of a close friend [n]"
BLUED,"BLUE, to make the colour of a clear sky [v]"
BLUER,"BLUE, having the colour of a clear sky [adj]"
BLUES,"BLUE, to make the colour of a clear sky [v]"
BLUEY,"a swagman's bundle of personal effects [n -S] / somewhat blue [adj BLUIER, BLUIEST]"
BLUME,"to blossom [v BLUMED, BLUMING, BLUMES]"
BLUNT,"not sharp or pointed [adj BLUNTER, BLUNTEST, BLUNTLY] / to make blunt [v -ED, -ING, -S]"
BLURS,"BLUR, to make indistinct [v]"
BLURT,"to utter unadvisedly [v -ED, -ING, -S]"
BLUSH,"to become red [v -ED, -ING, -ES]"
BOARD,"to supply food and lodging for a fee [v -ED, -ING, -S]"
BOARS,"BOAR, a male pig [n]"
BOART,"diamond dust or fragments, also BORT, BORTZ [n -S]"
BOAST,"to brag [v -ED, -ING, -S]"
BOATS,"BOAT, to travel on a watercraft [v]"
BOCHE,"an offensive term for a German, also BOSCHE [n -S]"
BOCKS,"BOCK, to belch, also BOKE, BOAK [v]"
BODED,"BODE, to foretell, be an omen of [v]"
BODES,"BODE, to foretell, be an omen of [v]"
BODGE,"to patch up [v BODGED, BODGING, BODGES]"
BODHI,"in Buddhism, enlightenment [n -S]"
BOGEY,"to shoot one over par in golf [v -ED, -ING, -S] / a goblin, also BOGIE, BOGY, BOGGARD, BOGGART, BOGLE [n -S]"
BOGGY,"like a bog [adj BOGGIER, BOGGIEST]"
BOGLE,"to perform the bogle, a kind of rhythmic dance [v BOGLED, BOGLING, BOGLES]"
BOGUE,a Mediterranean fish [n -S]
BOGUS,"not genuine, counterfeit [adj BOGUSLY]"
BOILS,"BOIL, to pass rapidly from liquid into vapour [v]"
BOING,"to reverberate by bouncing, also BOINK [v -ED, -ING, -S]"
BOINK,"to reverberate by bouncing, also BOING [v -ED, -ING, -S]"
BOKEH,the blurred quality of a photograph [n -S]
BOLAR,pertaining to a fine clay [adj]
BOLDS,"BOLD, to make type bold [v]"
BOLES,"BOLE, a fine earthy clay [n]"
BOLIX,"to make a mess of, also BOLLIX, BALLOCKS, BOLLOCKS, BOLLOX [v -ED, -ING, -ES]"
BOLLS,"BOLL, to form pods [v]"
BOLTS,"BOLT, to run away [v]"
BONCE,a large marble used in games [n -S]
BONDS,"BOND, to join together [v]"
BONED,"BONE, to take the bones out of [v]"
BONES,"BONE, to take the bones out of [v]"
BONEY,"like bone, also BONY [adj BONIER or BONEYER, BONIEST or BONEYEST]"
BONGS,"BONG, to make a deep ringing sound [v]"
BONKS,"BONK, to hit or thump, to have sexual intercourse [v]"
BONNY,"a sweetheart [n BONNIES] / pretty or healthy, also BONNIE [adj BONNIER, BONNIEST]"
BONUS,"in Scrabble, to play all seven of one's tiles in a single turn [v BONUSED or BONUSSED, BONUSING or BONUSSING, BONUSES or BONUSSES]"
BOODY,"to sulk or mope [v BOODIED, BOODYING, BOODIES]"
BOOED,"BOO, to show disapproval by making this sound, also BOOH [v]"
BOOFY,"muscular and strong but stupid [adj BOOFIER, BOOFIEST]"
BOOGY,"to dance to rock music, also BOOGIE, BOOGEY [v BOOGIED, BOOGYING, BOOGIES]"
BOOHS,"BOOH, to show disapproval by making this sound, also BOO [v]"
BOOKS,"BOOK, to reserve in advance [v]"
BOOKY,"by way of being literary, also BOOKSIE, BOOKSY [adj BOOKIER, BOOKIEST]"
BOOMS,"BOOM, to make a roaring sound [v]"
BOOMY,"hollow-sounding [adj BOOMIER, BOOMIEST]"
BOONS,"BOON, a timely benefit, a blessing [n]"
BOORS,"BOOR, a rude person [n]"
BOOSE,"to drink excessively, also BOOZE [v BOOSED, BOOSING, BOOSES]"
BOOST,"to support, increase [v -ED, -ING, -S]"
BOOTH,a stall for the display or sale of goods [n -S]
BOOTS,"BOOT, to kick with the foot [v]"
BOOTY,a rich prize [n BOOTIES]
BOOZE,"to drink excessively, also BOOSE [v BOOZED, BOOZING, BOOZES]"
BOOZY,"inclined to booze, also BOOZEY, BOUSY [adj BOOZIER, BOOZIEST]"
BOPPY,"suggestive of bebop [adj BOPPIER, BOPPIEST]"
BORAL,a mixture of boron carbide and aluminum [n -S]
BORAX,"a mineral, a hydrated sodium borate, found on alkaline lake shores, aka tincal [n BORAXES or BORACES]"
BORED,"BORE, to pierce with a tool [v]"
BOREL,a boring tool [n -S]
BORER,one that bores [n -S]
BORES,"BORE, to pierce with a tool [v]"
BORIC,"of, pertaining to, or containing, boron [adj]"
BORKS,"BORK, to denigrate a job applicant for partisan reasons [v]"
BORNA,"as in borna disease, a type of viral disease [adj]"
BORNE,"BEAR, to endure [v]"
BORON,a relatively inert nonmetallic chemical element [n -S]
BORTS,"BORT, diamond dust or fragments, also BOART, BORTZ [n]"
BORTY,"relating to bort, diamond dust [adj BORTIER, BORTIEST]"
BOSIE,"a kind of delivery in cricket, a googly [n -S]"
BOSKS,"BOSK, a bush, a thicket, also BOSKET, BOSQUE, BOSQUET, BUSKET [n]"
BOSKY,"woody or bushy [adj BOSKIER, BOSKIEST]"
BOSOM,"to enclose in the bosom [v -ED, -ING, -S]"
BOSON,any of a certain class of subatomic particles [n -S]
BOSSY,"a cow [n BOSSIES] / domineering [adj BOSSIER, BOSSIEST, BOSSILY]"
BOSUN,"a ship's officer in charge of equipment and maintenance, also BOATSWAIN [n -S]"
BOTCH,"to bungle [v -ED, -ING, -ES]"
BOTEL,"a waterside hotel, catering esp. for boat-owners, also BOATEL [n -S]"
BOTES,"BOTE, compensation for injury or damage to property [n]"
BOTTE,a thrust in fencing [n -S]
BOTTS,"BOTT, the maggot of a botfly, also BOT [n]"
BOUGH,a tree branch [n -S]
BOULT,"to sieve through a cloth [v -ED, -ING, -S]"
BOUND,"to leap [v -ED, -ING, -S]"
BOUNS,"BOUN, to prepare, also BOWNE [v]"
BOURN,a small stream [n -S]
BOUSE,"to haul with tackle, also BOWSE [v BOUSED, BOUSING, BOUSES]"
BOUSY,"inclined to booze, also BOOZY, BOOZEY [adj BOUSIER, BOUSIEST]"
BOUTS,"BOUT, a contest [n]"
BOVID,an animal of the cattle family [n -S]
BOWED,"BOW, to bend or incline downwards [v]"
BOWEL,"to take out the entrails [v BOWELED or BOWELLED, BOWELING or BOWELLING, BOWELS]"
BOWER,"to enclose in a shady recess [v -ED, -ING, -S]"
BOWIE,"as in bowie knife, a type of hunting knife [adj]"
BOWLS,"BOWL, to make a delivery of a ball [v]"
BOWNE,"to prepare, also BOUN [v BOWNED, BOWNING, BOWNES]"
BOWSE,"to haul with tackle, also BOUSE [v BOWSED, BOWSING, BOWSES]"
BOXED,"BOX, to put in a container [v]"
BOXEN,made of boxwood [adj]
BOXER,a person who boxes or is skilled in boxing [n -S]
BOXES,"BOX, to put in a container [v]"
BOXLA,a form of indoor lacrosse [n -S]
BOXTY,"an Irish dish of potato griddlecakes, eaten with various fillings [n BOXTIES]"
BOYED,"BOY, to act a female role as a boy [v]"
BOYFS,"BOYF, boyfriend [n]"
BOYOS,"BOYO, a young man [n]"
BOYSY,"suited to or typical of boys or young men [adj BOYSIER, BOYSIEST]"
BRACE,"to support [v BRACED, BRACING, BRACES]"
BRACH,"a female hunting hound, also BRACHET, BRATCHET [n BRACHES or BRACHS]"
BRACK,a flaw in cloth [n -S]
BRACT,any reduced leaflike structure associated with a cone or flower [n -S]
BRADS,"BRAD, to fasten with thin nails [v]"
BRAGS,"BRAG, to boast [v]"
BRAID,"broad [adj BRAIDER, BRAIDEST] / to form into a braid, a plait [v -ED, -ING, -S]"
BRAIL,"a line fastened to a sail [n -S] / to haul in a sail [v -ED, -ING, -S]"
BRAIN,"to dash out the brains of [v -ED, -ING, -S]"
BRAKE,"to slow down or stop [v BRAKED, BRAKING, BRAKES]"
BRAKY,"abounding in shrubs or ferns [adj BRAKIER, BRAKIEST]"
BRAND,"to mark with a hot iron [v -ED, -ING, -S]"
BRANE,a multidimensional surface embedded in a space with extra dimensions [n -S]
BRANS,"BRAN, to soak in water mixed with the outer coat of cereals [v]"
BRANT,"a wild goose, also BRENT [n -S]"
BRASS,"to coat with an alloy of copper and zinc [v -ED, -ING, -ES]"
BRATS,"BRAT, a badly behaved child [n]"
BRAVE,"to face with courage [v BRAVED, BRAVING, BRAVES] / showing courage [adj BRAVER, BRAVEST, BRAVELY]"
BRAWL,"to fight rowdily [v -ED, -ING, -S]"
BRAWN,muscular strength [n -S]
BRAXY,a bacterial disease of sheep [n BRAXIES]
BRAYS,"BRAY, to cry like an ass [v]"
BRAZE,"to solder with an alloy of copper and zinc [v BRAZED, BRAZING, BRAZES]"
BREAD,"to cover with breadcrumbs [v -ED, -ING, -S]"
BREAK,"to shatter or damage [v BROKE, BROKEN, BREAKING, BREAKS]"
